,Target,secondary_structure,source,taxonomy,size,oligomeric_state
1,T1104,all_alpha,X-RAY,Bacteria,117,monomer
2,T1104-D1,all_alpha,X-RAY,Bacteria,117,monomer
3,T1106s1,all_alpha,X-RAY,Bacteria,122,hetero-oligomer
4,T1106s1-D1,all_alpha,X-RAY,Bacteria,71,hetero-oligomer
5,T1106s2,all_alpha,X-RAY,Bacteria,114,hetero-oligomer
6,T1106s2-D1,all_alpha,X-RAY,Bacteria,111,hetero-oligomer
7,T1109,mixed,X-RAY,Bacteria,227,hetero-oligomer
8,T1109-D1,mixed,X-RAY,Bacteria,214,hetero-oligomer
9,T1110,mixed,X-RAY,Bacteria,227,homo-oligomer
10,T1110-D1,mixed,X-RAY,Bacteria,221,homo-oligomer
11,T1112,mixed,X-RAY,Archaea,460,homo-oligomer
12,T1112-D1,mixed,X-RAY,Archaea,460,homo-oligomer
13,T1113,mixed,X-RAY,Virus,193,homo-oligomer
14,T1113-D1,mixed,X-RAY,Virus,192,homo-oligomer
15,T1114s1,all_alpha,EM,Bacteria,189,hetero-oligomer
16,T1114s1-D1,all_alpha,EM,Bacteria,60,hetero-oligomer
17,T1114s1-D2,all_alpha,EM,Bacteria,110,hetero-oligomer
18,T1114s2,mostly_alpha,EM,Bacteria,369,hetero-oligomer
19,T1114s2-D1,mostly_alpha,EM,Bacteria,322,hetero-oligomer
20,T1114s3,mostly_alpha,EM,Bacteria,535,hetero-oligomer
21,T1114s3-D1,mostly_alpha,EM,Bacteria,513,hetero-oligomer
22,T1115,mostly_alpha,EM,Eukaryotes,288,homo-oligomer
23,T1115-D1,mixed,EM,Eukaryotes,176,homo-oligomer
24,T1115-D2,all_alpha,EM,Eukaryotes,72,homo-oligomer
25,T1119,all_alpha,X-RAY,De novo,153,homo-oligomer
26,T1119-D1,all_alpha,X-RAY,De novo,48,homo-oligomer
27,T1120,mostly_alpha,X-RAY,Bacteria,235,monomer
28,T1120-D1,mostly_alpha,X-RAY,Bacteria,118,monomer
29,T1120-D2,all_alpha,X-RAY,Bacteria,110,monomer
30,T1121,mostly_alpha,EM,Bacteria,381,homo-oligomer
31,T1121-D1,mostly_alpha,EM,Bacteria,203,homo-oligomer
32,T1121-D2,mixed,EM,Bacteria,177,homo-oligomer
33,T1122,mostly_alpha,X-RAY,Virus,241,monomer
34,T1122-D1,mostly_alpha,X-RAY,Virus,234,monomer
35,T1123,mostly_beta,X-RAY,Virus,266,homo-oligomer
36,T1123-D1,mostly_beta,X-RAY,Virus,226,homo-oligomer
37,T1124,mostly_alpha,X-RAY,Bacteria,383,homo-oligomer
38,T1124-D1,mostly_alpha,X-RAY,Bacteria,378,homo-oligomer
39,T1125,mostly_alpha,X-RAY,Virus,1200,monomer
40,T1125-D1,mostly_alpha,X-RAY,Virus,134,monomer
41,T1125-D2,mostly_beta,X-RAY,Virus,148,monomer
42,T1125-D3,mostly_beta,X-RAY,Virus,189,monomer
43,T1125-D4,mostly_alpha,X-RAY,Virus,149,monomer
44,T1125-D5,mostly_alpha,X-RAY,Virus,150,monomer
45,T1125-D6,all_alpha,X-RAY,Virus,66,monomer
46,T1127,mixed,X-RAY,Eukaryotes,211,homo-oligomer
47,T1127-D1,mixed,X-RAY,Eukaryotes,205,homo-oligomer
48,T1127v2,mixed,X-RAY,Eukaryotes,211,homo-oligomer
49,T1129s2,mostly_beta,EM,Bacteria,640,monomer
50,T1129s2-D1,mostly_beta,EM,Bacteria,608,monomer
51,T1130,mostly_alpha,X-RAY,Eukaryotes,198,homo-oligomer
52,T1130-D1,mostly_alpha,X-RAY,Eukaryotes,163,homo-oligomer
53,T1131,all_alpha,X-RAY,Eukaryotes,173,monomer
54,T1131-D1,all_alpha,X-RAY,Eukaryotes,161,monomer
55,T1132,mixed,X-RAY,Bacteria,102,homo-oligomer
56,T1132-D1,mixed,X-RAY,Bacteria,98,homo-oligomer
57,T1133,all_beta,X-RAY,Eukaryotes,585,monomer
58,T1133-D1,all_beta,X-RAY,Eukaryotes,424,monomer
59,T1134s1,all_alpha,X-RAY,Bacteria,230,hetero-oligomer
60,T1134s1-D1,all_alpha,X-RAY,Bacteria,229,hetero-oligomer
61,T1134s2,mostly_alpha,X-RAY,Bacteria,313,hetero-oligomer
62,T1134s2-D1,mostly_alpha,X-RAY,Bacteria,304,hetero-oligomer
63,T1137s1,mostly_alpha,EM,Bacteria,409,hetero-oligomer
64,T1137s1-D1,mixed,EM,Bacteria,150,hetero-oligomer
65,T1137s1-D2,mostly_alpha,EM,Bacteria,240,hetero-oligomer
66,T1137s2,mostly_alpha,EM,Bacteria,343,hetero-oligomer
67,T1137s2-D1,mixed,EM,Bacteria,149,hetero-oligomer
68,T1137s2-D2,mostly_alpha,EM,Bacteria,194,hetero-oligomer
69,T1137s3,mostly_alpha,EM,Bacteria,524,hetero-oligomer
70,T1137s3-D1,mixed,EM,Bacteria,149,hetero-oligomer
71,T1137s3-D2,all_alpha,EM,Bacteria,164,hetero-oligomer
72,T1137s4,mostly_alpha,EM,Bacteria,547,hetero-oligomer
73,T1137s4-D1,mostly_beta,EM,Bacteria,116,hetero-oligomer
74,T1137s4-D2,all_alpha,EM,Bacteria,235,hetero-oligomer
75,T1137s4-D3,mixed,EM,Bacteria,74,hetero-oligomer
76,T1137s5,mostly_alpha,EM,Bacteria,390,hetero-oligomer
77,T1137s5-D1,mostly_beta,EM,Bacteria,137,hetero-oligomer
78,T1137s5-D2,all_alpha,EM,Bacteria,221,hetero-oligomer
79,T1137s6,mostly_alpha,EM,Bacteria,518,hetero-oligomer
80,T1137s6-D1,mixed,EM,Bacteria,151,hetero-oligomer
81,T1137s6-D2,all_alpha,EM,Bacteria,248,hetero-oligomer
82,T1137s7,mostly_alpha,EM,Bacteria,653,hetero-oligomer
83,T1137s7-D1,mostly_alpha,EM,Bacteria,325,hetero-oligomer
84,T1137s8,all_alpha,EM,Bacteria,266,hetero-oligomer
85,T1137s8-D1,all_alpha,EM,Bacteria,251,hetero-oligomer
86,T1137s9,all_alpha,EM,Bacteria,289,hetero-oligomer
87,T1137s9-D1,all_alpha,EM,Bacteria,265,hetero-oligomer
88,T1139,mixed,X-RAY,Eukaryotes,317,monomer
89,T1139-D1,mixed,X-RAY,Eukaryotes,295,monomer
90,T1145,mostly_beta,X-RAY,Bacteria,635,homo-oligomer
91,T1145-D1,all_beta,X-RAY,Bacteria,99,homo-oligomer
92,T1145-D2,mostly_beta,X-RAY,Bacteria,533,homo-oligomer
93,T1146,mixed,X-RAY,Bacteria,310,monomer
94,T1146-D1,mixed,X-RAY,Bacteria,279,monomer
95,T1147,all_beta,X-RAY,Bacteria,103,monomer
96,T1147-D1,all_beta,X-RAY,Bacteria,92,monomer
97,T1150,mostly_alpha,X-RAY,Bacteria,370,monomer
