,Target,secondary_structure,oligomeric_state
182,T1024,all_alpha,monomer
87,T1024-D1,all_alpha,monomer
75,T1024-D2,all_alpha,monomer
29,T1025,mostly_alpha,monomer
109,T1025-D1,mostly_alpha,monomer
101,T1026,all_beta,monomer
161,T1026-D1,all_beta,monomer
235,T1027,all_alpha,monomer
202,T1027-D1,all_alpha,monomer
8,T1028,mixed,monomer
261,T1028-D1,mixed,monomer
203,T1029,mixed,monomer
183,T1029-D1,mixed,monomer
267,T1030,all_alpha,monomer
223,T1030-D1,all_alpha,monomer
50,T1030-D2,all_alpha,monomer
19,T1031,mostly_alpha,monomer
233,T1031-D1,mostly_alpha,monomer
156,T1032,mostly_alpha,homo-oligomer
218,T1032-D1,mostly_alpha,homo-oligomer
238,T1033,all_alpha,monomer
226,T1033-D1,all_alpha,monomer
32,T1034,all_beta,homo-oligomer
102,T1034-D1,all_beta,homo-oligomer
251,T1035,mostly_alpha,monomer
163,T1035-D1,mostly_alpha,monomer
140,T1036s1,mostly_beta,hetero-oligomer
150,T1036s1-D1,mostly_beta,hetero-oligomer
236,T1037,mostly_alpha,homo-oligomer
128,T1037-D1,mostly_alpha,homo-oligomer
115,T1038,mostly_beta,homo-oligomer
28,T1038-D1,mostly_beta,homo-oligomer
25,T1038-D2,all_beta,homo-oligomer
273,T1039,all_alpha,monomer
159,T1039-D1,all_alpha,monomer
245,T1040,mostly_alpha,monomer
270,T1040-D1,mostly_alpha,monomer
133,T1041,mostly_alpha,monomer
204,T1041-D1,mostly_alpha,monomer
119,T1042,mostly_alpha,monomer
61,T1042-D1,mostly_alpha,monomer
216,T1043,mixed,monomer
13,T1043-D1,mixed,monomer
260,T1044,mostly_alpha,monomer
122,T1045s1,mostly_alpha,homo-oligomer
177,T1045s1-D1,mostly_alpha,homo-oligomer
94,T1045s2,mostly_alpha,homo-oligomer
250,T1045s2-D1,mostly_alpha,homo-oligomer
145,T1046s1,all_alpha,hetero-oligomer
91,T1046s1-D1,all_alpha,hetero-oligomer
209,T1046s2,mixed,hetero-oligomer
114,T1046s2-D1,mixed,hetero-oligomer
187,T1047s1,mostly_beta,homo-oligomer
120,T1047s1-D1,mostly_beta,homo-oligomer
86,T1047s1-D9,mostly_beta,homo-oligomer
170,T1047s2,mixed,homo-oligomer
168,T1047s2-D1,mostly_beta,homo-oligomer
240,T1047s2-D2,mixed,homo-oligomer
74,T1047s2-D3,mixed,homo-oligomer
158,T1048,all_alpha,homo-oligomer
18,T1048-D1,all_alpha,homo-oligomer
81,T1049,mostly_beta,monomer
138,T1049-D1,mostly_beta,monomer
30,T1050,mostly_beta,homo-oligomer
246,T1050-D1,mostly_beta,homo-oligomer
39,T1050-D2,all_beta,homo-oligomer
96,T1050-D3,all_beta,homo-oligomer
41,T1052,mostly_beta,homo-oligomer
229,T1052-D1,mostly_beta,homo-oligomer
90,T1052-D2,mostly_alpha,homo-oligomer
46,T1052-D3,all_beta,homo-oligomer
56,T1053,mostly_alpha,monomer
154,T1053-D1,mostly_alpha,monomer
256,T1053-D2,all_alpha,monomer
55,T1054,mixed,homo-oligomer
130,T1054-D1,mixed,homo-oligomer
210,T1055,mostly_alpha,monomer
31,T1055-D1,mostly_alpha,monomer
257,T1056,mostly_beta,homo-oligomer
68,T1056-D1,mostly_beta,homo-oligomer
43,T1057,mostly_alpha,monomer
200,T1057-D1,mostly_alpha,monomer
248,T1058,mostly_alpha,monomer
72,T1058-D1,all_alpha,monomer
67,T1058-D2,mixed,monomer
164,T1060s2,mostly_beta,hetero-oligomer
231,T1060s2-D1,mostly_beta,hetero-oligomer
190,T1060s3,mostly_beta,hetero-oligomer
142,T1060s3-D1,mostly_beta,hetero-oligomer
27,T1061,mostly_beta,homo-oligomer
45,T1061-D0,mostly_beta,homo-oligomer
2,T1061-D1,mostly_beta,homo-oligomer
219,T1061-D2,mostly_beta,homo-oligomer
153,T1061-D3,all_beta,homo-oligomer
47,T1062,all_alpha,homo-oligomer
54,T1062-D1,all_alpha,homo-oligomer
22,T1064,all_beta,homo-oligomer
99,T1064-D1,all_beta,homo-oligomer
108,T1065s1,mixed,homo-oligomer
26,T1065s1-D1,mixed,homo-oligomer
259,T1065s2,mostly_alpha,homo-oligomer
