Group,T1104,T1113,T1122,T1125,T1145,T1150,T1159,T1162,T1163,T1174,T1175,T1176,T1177,T1181,T1187,T1188,T1194
UNRES,-16.00,7.00,-22.00,-161.00,1.00,604.00,204.00,247.00,238.00,-59.00,129.00,107.00,52.00,-386.00,949.00,433.00,41.00
FTBiot0119,-16.00,-81.00,-14.00,-219.00,-126.00,-19.00,666.00,-3.00,-1.00,493.00,-21.00,-78.00,-8.00,1739.00,2775.00,-12.00,-36.00
EMBER3D,-14.00,-48.00,-19.00,-163.00,-86.00,-44.00,-13.00,-22.00,9.00,-94.00,47.00,-3.00,-11.00,326.00,5.00,41.00,15.00
FALCON0,-14.00,-45.00,-13.00,-73.00,-74.00,-27.00,9.00,-6.00,10.00,-14.00,103.00,-68.00,-26.00,17.00,-78.00,-5.00,-19.00
Agemo,-11.00,-66.00,-23.00,-171.00,-104.00,17.00,-21.00,88.00,-27.00,-33.00,76.00,90.00,-25.00,676.00,498.00,575.00,27.00
ACOMPMOD,-10.00,-53.00,0.0,0.0,-78.00,-81.00,-15.00,-37.00,-21.00,-28.00,-39.00,-81.00,-19.00,-284.00,-110.00,2.00,-34.00
BhageerathH-Pro,-8.00,-39.00,-17.00,-142.00,-114.00,-55.00,-23.00,202.00,84.00,-72.00,-316.00,-68.00,-21.00,-328.00,469.00,9.00,-36.00
Pan_Server,-8.00,-35.00,-19.00,-135.00,-102.00,-7.00,48.00,-15.00,-18.00,-85.00,0.0,-83.00,-18.00,91.00,-57.00,-63.00,-41.00
DFolding-refine,-7.00,68.00,0.0,-188.00,70.00,671.00,674.00,297.00,131.00,47.00,328.00,235.00,258.00,553.00,1075.00,370.00,343.00
Cerebra,-5.00,-94.00,-28.00,-121.00,-93.00,-28.00,9.00,-6.00,10.00,-86.00,33.00,-61.00,-20.00,-299.00,-38.00,-44.00,-42.00
Gonglab-THU,-5.00,-83.00,-24.00,-172.00,-93.00,-28.00,9.00,-6.00,10.00,-86.00,33.00,-59.00,-20.00,-299.00,-38.00,-44.00,-42.00
DELCLAB,-3.00,196.00,-9.00,-141.00,-106.00,-12.00,0.0,91.00,4.00,210.00,127.00,65.00,-32.00,-272.00,2272.00,410.00,68.00
wuqi,-3.00,-55.00,-4.00,-158.00,-76.00,339.00,142.00,7.00,76.00,0.0,0.0,0.0,0.0,-106.00,402.00,105.00,21.00
ManiFold-serv,-1.00,33.00,-16.00,-178.00,116.00,1213.00,896.00,914.00,642.00,44.00,1266.00,318.00,261.00,950.00,2519.00,1707.00,413.00
FALCON2,0.00,-51.00,-13.00,-73.00,-74.00,-27.00,9.00,-6.00,10.00,-14.00,103.00,-68.00,-26.00,3.00,-79.00,-5.00,-19.00
Panlab,3.00,-67.00,-12.00,-119.00,-129.00,-10.00,41.00,36.00,32.00,-75.00,13.00,11.00,10.00,-265.00,66.00,21.00,-11.00
CSRC_ICM,5.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BeijingAIProtein,9.00,276.00,-17.00,-139.00,88.00,1426.00,869.00,943.00,699.00,118.00,1012.00,177.00,300.00,783.00,3376.00,1817.00,404.00
SHORTLE,11.00,177.00,3.00,0.0,-14.00,584.00,499.00,584.00,494.00,-43.00,349.00,130.00,161.00,0.0,1526.00,0.0,234.00
MESHI,11.00,10.00,-3.00,0.0,0.0,0.0,248.00,327.00,189.00,-56.00,353.00,12.00,82.00,406.00,438.00,631.00,110.00
hks1988,12.00,63.00,-14.00,-122.00,117.00,1577.00,666.00,851.00,678.00,488.00,708.00,282.00,258.00,1418.00,3234.00,1292.00,359.00
AP_1,12.00,63.00,-16.00,-122.00,-4.00,1371.00,854.00,851.00,706.00,-46.00,708.00,271.00,237.00,1418.00,3085.00,1457.00,93.00
Bhattacharya,13.00,170.00,-26.00,-144.00,11.00,756.00,658.00,676.00,387.00,-44.00,748.00,125.00,175.00,655.00,2003.00,698.00,84.00
server_125,16.00,123.00,-20.00,-149.00,108.00,1541.00,882.00,1144.00,674.00,190.00,923.00,320.00,279.00,1315.00,2740.00,1654.00,314.00
server_123,16.00,233.00,-30.00,-149.00,108.00,1544.00,882.00,1122.00,693.00,20.00,1188.00,244.00,265.00,764.00,2425.00,1682.00,315.00
server_122,16.00,126.00,-20.00,-149.00,108.00,1541.00,882.00,1144.00,674.00,64.00,923.00,317.00,279.00,1318.00,2738.00,1654.00,314.00
Graphen_Medical,17.00,410.00,0.0,-150.00,196.00,2228.00,936.00,1123.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IntFOLD7,18.00,49.00,-17.00,-176.00,118.00,1541.00,726.00,760.00,628.00,19.00,469.00,255.00,212.00,1236.00,2151.00,1630.00,241.00
SHT,23.00,204.00,-16.00,-148.00,-9.00,995.00,489.00,129.00,242.00,122.00,346.00,206.00,90.00,771.00,3015.00,640.00,132.00
UltraFold_Server,24.00,169.00,-28.00,-139.00,88.00,1426.00,869.00,943.00,699.00,118.00,1012.00,177.00,300.00,783.00,3376.00,1817.00,404.00
ChaePred,25.00,157.00,-9.00,-134.00,-4.00,1577.00,666.00,834.00,594.00,488.00,708.00,212.00,97.00,1735.00,3085.00,1630.00,336.00
Seder2022hard,25.00,54.00,-16.00,-171.00,43.00,1079.00,793.00,714.00,528.00,0.0,519.00,204.00,97.00,803.00,2159.00,1507.00,341.00
McGuffin,26.00,148.00,-4.00,-162.00,99.00,2058.00,865.00,912.00,616.00,232.00,693.00,323.00,269.00,3263.00,2757.00,1655.00,428.00
Kiharalab_Server,26.00,311.00,-9.00,-123.00,142.00,2154.00,862.00,963.00,614.00,318.00,1109.00,-50.00,291.00,2571.00,2618.00,1377.00,455.00
WL_team,26.00,192.00,-11.00,-138.00,-51.00,270.00,445.00,251.00,298.00,310.00,122.00,111.00,85.00,3.00,792.00,643.00,127.00
Shennong,26.00,296.00,-5.00,-176.00,2.00,1349.00,871.00,947.00,662.00,-24.00,1069.00,269.00,276.00,706.00,2329.00,1584.00,277.00
MultiFOLD,27.00,299.00,4.00,-162.00,61.00,2058.00,836.00,912.00,616.00,148.00,540.00,244.00,269.00,3875.00,2757.00,1655.00,428.00
UM-TBM,27.00,382.00,-16.00,-113.00,461.00,1360.00,867.00,1089.00,591.00,760.00,1243.00,113.00,265.00,4924.00,2482.00,1545.00,418.00
DFolding,28.00,428.00,-9.00,-145.00,341.00,1732.00,845.00,1044.00,718.00,119.00,1339.00,258.00,256.00,963.00,2806.00,1707.00,396.00
DMP,30.00,443.00,-19.00,0.0,115.00,1759.00,888.00,868.00,612.00,193.00,977.00,224.00,259.00,4303.00,2821.00,1599.00,372.00
NBIS-af2-standard,30.00,0.0,-9.00,-134.00,103.00,1692.00,890.00,1055.00,706.00,-23.00,1305.00,280.00,268.00,1418.00,2769.00,1776.00,383.00
Elofsson,30.00,228.00,-9.00,-142.00,103.00,2183.00,889.00,1055.00,706.00,298.00,1305.00,212.00,268.00,3630.00,3102.00,1776.00,0.0
XRC_VU,34.00,179.00,-14.00,-170.00,122.00,1507.00,880.00,0.0,0.0,129.00,1010.00,213.00,265.00,0.0,2626.00,0.0,420.00
