,#,Model,GR#,GROUP_NAME,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MP_clash,MP_rotout,MP_ramout,MP_ramfv,reLLG_lddt,reLLG_const,Target
0,1,T1175TS204_1,204,Asclepius,94.6,100.0,1,0.56,0.57,84.38,63.17,77.77,1.452,2.049,264,0,95.83,98.11,98.11,96.327,0.95,11.97,36.9,264,1.5,1.33,0.86,95.27,0.8,0.87,0.99,0.06,0.97,94.8,7.02,97.47,94.32,0.97,3549.8,3.17,90.38,0.7,1.18,0.67,1.61,91.61,21.76,17.72,T1175
1,2,T1175TS092_1,092,Agemo_mix,94.6,100.0,1,0.56,0.57,84.38,63.17,77.77,1.452,2.049,264,0,95.83,98.11,98.11,96.327,0.95,11.97,36.9,264,1.5,1.33,0.86,95.27,0.8,0.87,0.99,0.06,0.97,94.8,7.02,97.47,94.32,0.97,3549.8,3.17,90.38,0.7,1.18,0.67,1.61,91.61,21.76,17.72,T1175
2,3,T1175TS385_1,385,FoldEver-Hybrid,94.13,100.0,3,0.53,0.54,83.81,60.97,76.37,1.718,2.31,264,4,95.45,96.59,96.59,95.458,0.9,11.8,37.3,264,1.7,1.58,0.85,94.13,0.79,0.87,0.99,0.06,0.97,92.0,5.86,97.29,93.84,0.96,3516.3,3.99,90.36,0.67,4.72,1.0,0.65,95.16,26.22,19.79,T1175
3,4,T1175TS245_1,245s,FoldEver,94.13,100.0,3,0.53,0.54,83.81,60.97,76.37,1.718,2.31,264,4,95.45,96.59,96.59,95.458,0.9,11.8,37.3,264,1.7,1.58,0.85,94.13,0.79,0.87,0.99,0.06,0.97,92.0,5.86,97.29,93.84,0.96,3516.3,3.99,90.36,0.67,4.72,1.0,0.65,95.16,26.22,19.79,T1175
4,5,T1175TS119_1,119,Kiharalab,94.03,100.0,5,0.52,0.53,84.19,60.97,76.92,1.719,2.311,264,0,95.45,96.97,96.97,95.484,0.89,11.8,37.4,264,1.7,1.49,0.85,94.13,0.79,0.87,0.99,0.06,0.97,95.0,5.86,97.39,94.11,0.96,3531.5,3.83,90.59,0.68,1.77,0.0,2.58,89.68,29.73,21.5,T1175
5,6,T1175TS270_1,270s,NBIS-af2-standard,94.03,100.0,5,0.52,0.53,84.19,60.97,76.9,1.719,2.311,264,0,95.45,96.97,96.97,95.484,0.89,11.8,37.4,264,1.7,1.52,0.85,94.13,0.79,0.87,0.99,0.06,0.97,95.0,5.86,97.39,94.11,0.96,3533.1,3.83,90.62,0.68,1.97,0.0,2.58,89.68,29.77,21.59,T1175
6,7,T1175TS320_1,320,Elofsson,94.03,100.0,5,0.52,0.53,84.19,60.97,76.9,1.719,2.311,264,0,95.45,96.97,96.97,95.484,0.89,11.8,37.4,264,1.7,1.52,0.85,94.13,0.79,0.87,0.99,0.06,0.97,95.0,5.86,97.39,94.11,0.96,3533.1,3.83,90.59,0.68,1.97,0.0,2.58,89.68,29.8,21.59,T1175
7,8,T1175TS342_1,342,hFold_human,94.03,100.0,5,0.52,0.53,84.19,60.97,76.9,1.719,2.311,264,0,95.45,96.97,96.97,95.484,0.89,11.8,37.4,264,1.7,1.52,0.85,94.13,0.79,0.87,0.99,0.06,0.97,95.0,5.86,97.39,94.11,0.96,3533.1,3.83,90.62,0.68,1.97,0.0,2.58,89.68,29.77,21.59,T1175
8,9,T1175TS117_1,117,QUIC,93.56,100.0,9,0.49,0.51,81.34,33.68,65.09,1.738,2.744,264,0,95.45,96.59,96.59,95.395,0.91,11.8,34.8,264,1.7,3.54,0.73,91.48,0.66,0.78,0.99,0.07,0.97,90.2,7.02,96.68,92.56,0.96,3451.0,4.25,84.61,0.45,14.74,29.1,8.71,78.71,7.93,5.51,T1175
9,10,T1175TS086_1,086s,MULTICOM_qa,93.47,100.0,10,0.49,0.5,80.68,61.18,75.34,1.632,2.202,264,0,95.83,96.97,96.97,96.001,0.99,11.86,35.5,264,1.6,1.29,0.85,95.27,0.79,0.87,0.99,0.06,0.97,89.9,6.35,97.08,93.69,0.96,3514.2,4.41,90.61,0.68,0.98,0.0,2.58,91.61,22.76,17.93,T1175
10,11,T1175TS003_1,003,MULTICOM_human,93.47,100.0,10,0.49,0.5,80.68,61.18,75.34,1.632,2.202,264,0,95.83,96.97,96.97,96.001,0.99,11.86,35.5,264,1.6,1.29,0.85,95.27,0.79,0.87,0.99,0.06,0.97,89.9,6.35,97.08,93.69,0.96,3514.2,4.41,90.61,0.68,0.98,0.0,2.58,91.61,22.76,17.93,T1175
11,12,T1175TS131_1,131s,Kiharalab_Server,93.37,100.0,12,0.48,0.5,78.6,59.48,73.78,1.487,2.05,264,0,96.59,97.73,97.73,96.004,1.03,11.91,36.9,264,1.5,1.23,0.85,96.21,0.79,0.87,0.99,0.06,0.97,93.5,7.13,97.03,93.65,0.97,3507.7,4.3,90.38,0.69,0.98,0.67,0.65,93.23,15.23,13.43,T1175
12,13,T1175TS089_1,089s,GuijunLab-RocketX,93.28,100.0,13,0.47,0.49,82.29,59.09,75.79,1.688,2.193,264,0,96.21,96.97,96.97,95.559,0.9,11.8,37.8,264,1.7,1.55,0.85,96.21,0.79,0.87,0.99,0.06,0.97,92.1,7.13,97.53,94.74,0.96,3568.4,2.7,89.46,0.68,1.38,2.01,2.26,92.9,19.89,18.33,T1175
13,14,T1175TS188_1,188s,GuijunLab-DeepDA,93.28,100.0,13,0.47,0.49,82.29,59.09,75.79,1.688,2.193,264,0,96.21,96.97,96.97,95.559,0.9,11.8,37.8,264,1.7,1.55,0.85,96.21,0.79,0.87,0.99,0.06,0.97,92.1,7.13,97.53,94.74,0.96,3568.4,2.7,92.17,0.68,1.38,2.01,2.26,92.9,23.27,18.33,T1175
14,15,T1175TS481_1,481s,GuijunLab-Meta,93.28,100.0,13,0.47,0.49,82.29,59.09,75.79,1.688,2.193,264,0,96.21,96.97,96.97,95.559,0.9,11.8,37.8,264,1.7,1.55,0.85,96.21,0.79,0.87,0.99,0.06,0.97,92.1,7.13,97.53,94.74,0.96,3568.4,2.7,92.17,0.68,1.38,2.01,2.26,92.9,23.27,18.33,T1175
15,16,T1175TS169_1,169,GuijunLab-Human,93.28,100.0,13,0.47,0.49,82.29,59.09,75.79,1.688,2.193,264,0,96.21,96.97,96.97,95.559,0.9,11.8,37.8,264,1.7,1.55,0.85,96.21,0.79,0.87,0.99,0.06,0.97,92.1,7.13,97.53,94.74,0.96,3568.4,2.7,92.17,0.68,1.38,2.01,2.26,92.9,23.27,18.33,T1175
16,17,T1175TS248_1,248,Manifold,93.18,100.0,17,0.47,0.48,84.75,62.17,77.11,1.892,2.381,264,0,94.7,96.59,96.59,94.91,0.87,11.68,36.7,263,1.6,1.21,0.85,94.7,0.79,0.86,0.99,0.07,0.97,88.9,7.13,97.42,94.15,0.96,3509.5,2.92,87.52,0.68,1.18,0.0,0.97,94.52,30.4,26.14,T1175
17,18,T1175TS035_1,035s,Manifold-E,93.18,100.0,17,0.47,0.48,84.75,62.17,77.11,1.892,2.381,264,0,94.7,96.59,96.59,94.91,0.87,11.68,36.7,263,1.6,1.21,0.85,94.7,0.79,0.86,0.99,0.07,0.97,88.9,7.13,97.42,94.15,0.96,3509.5,2.92,87.52,0.68,1.18,0.0,0.97,94.52,30.4,26.14,T1175
18,19,T1175TS225_1,225,ShanghaiTech,93.09,100.0,19,0.46,0.48,79.45,59.8,74.36,1.538,2.055,264,0,96.59,98.11,98.11,96.004,1.01,11.97,35.3,264,1.5,1.57,0.84,96.21,0.78,0.86,0.99,0.06,0.97,90.7,7.02,96.88,93.38,0.96,3491.9,4.15,89.04,0.67,2.55,1.34,1.29,93.23,18.75,16.21,T1175
19,20,T1175TS282_1,282s,GuijunLab-Threader,92.99,100.0,20,0.46,0.47,83.05,60.35,75.44,1.782,2.323,264,0,94.7,96.97,96.97,95.013,0.97,11.8,37.2,264,1.8,1.41,0.85,95.08,0.78,0.87,0.99,0.06,0.97,94.8,7.13,97.38,94.11,0.96,3514.5,3.19,92.12,0.67,1.38,0.67,2.58,90.32,28.88,21.84,T1175
